301	329	29
652	678	27
989	1618	630
1575	1615	41
1620	2129	510
1653	1693	41
2324	2357	34
2602	2635	34
2610	2639	30
2612	2639	28
2730	2758	29
2799	2833	35
2844	2875	32
2877	2918	42
2916	2944	29
2930	2968	39
3171	3202	32
3392	4000	609
3423	3537	115
3494	3526	33
3515	3544	30
3515	3546	32
3515	3552	38
3834	3861	28
3835	3861	27
3836	3869	34
3847	3874	28
4026	4140	115
4097	4129	33
4118	4147	30
4118	4149	32
4118	4155	38
4437	4464	28
4438	4464	27
4439	4472	34
4450	4477	28
4700	4732	33
4735	4766	32
4797	4830	34
4823	4877	55
4832	4877	46
4880	5122	243
4880	5737	858
5090	5124	35
5705	5739	35
6320	6352	33
10282	10317	36
10289	10317	29
10367	10395	29
11225	11283	59
11225	11390	166
11228	11258	31
11251	11290	40
11334	11360	27
11388	11533	146
11517	11619	103
11564	11594	31
11587	11626	40
11670	11696	27
11910	11940	31
11933	11965	33
12793	12819	27
13108	13143	36
14276	14303	28
14473	14499	27
14473	14507	35
14474	14507	34
14475	14507	33
14476	14507	32
15098	15597	500
16364	16404	41
16934	17052	119
17054	17115	62
17056	17115	60
17057	17115	59
17079	17115	37
17108	17140	33
17109	17205	97
17113	17205	93
17127	17205	79
17207	17301	95
17207	17401	195
17207	17404	198
17398	17462	65
17399	17457	59
17421	17461	41
17460	17491	32
17464	17752	289
17478	17652	175
17829	18003	175
17990	18048	59
18012	18052	41
18055	18082	28
18363	18399	37
18418	18647	230
18542	18575	34
18543	18575	33
18613	18655	43
18614	18647	34
18615	18655	41
18687	18719	33
18687	18728	42
18754	18927	174
18988	19381	394
19142	19175	34
19213	19247	35
19214	19247	34
19222	19256	35
19223	19256	34
19742	19775	34
19813	19847	35
